query_scope,query_terms,sec_code_raw,sec_code,sec_name,org_id,announcement_id,announcement_title,announcement_date,announcement_time_ms,adjunct_url,pdf_url,adjunct_size,adjunct_type,page_column,column_id
sse_a,人工智能,603881,603881,数据港,9900029913,1223450958,上海数据港股份有限公司关于参加2024年度沪市主板人工智能专题集体业绩说明会召开情况的公告,2025-04-30,1746028800000,finalpage/2025-05-01/1223450958.PDF,https://static.cninfo.com.cn/finalpage/2025-05-01/1223450958.PDF,170,PDF,SHZB,250401||251302
sse_a,人工智能,603893,603893,瑞芯微,9900033186,1223450961,关于参加2024年度沪市主板人工智能专题集体业绩说明会情况的公告,2025-04-30,1746028800000,finalpage/2025-05-01/1223450961.PDF,https://static.cninfo.com.cn/finalpage/2025-05-01/1223450961.PDF,195,PDF,SHZB,250401||251302
sse_a,人工智能,600821,600821,金开新能,gssh0600821,1224377816,关于全资子公司人工智能算力技术服务合同的进展公告,2025-08-03,1754236800000,finalpage/2025-08-04/1224377816.PDF,https://static.cninfo.com.cn/finalpage/2025-08-04/1224377816.PDF,60,PDF,SHZB,250401||251302
sse_a,人工智能,688039,688039,当虹科技,9900038989,1224557805,杭州当虹科技股份有限公司关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-22,1755878400000,finalpage/2025-08-23/1224557805.PDF,https://static.cninfo.com.cn/finalpage/2025-08-23/1224557805.PDF,106,PDF,SHKCB,251302||253201
sse_a,人工智能,688365,688365,光云科技,9900039491,1224558070,光云科技：关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-22,1755878400000,finalpage/2025-08-23/1224558070.PDF,https://static.cninfo.com.cn/finalpage/2025-08-23/1224558070.PDF,129,PDF,SHKCB,251302||253201
sse_a,人工智能,688088,688088,虹软科技,9900038968,1224588502,关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-27,1756310400000,finalpage/2025-08-28/1224588502.PDF,https://static.cninfo.com.cn/finalpage/2025-08-28/1224588502.PDF,101,PDF,SHKCB,251302||253201
sse_a,人工智能,688159,688159,有方科技,gfbj0835770,1224594883,有方科技：关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-27,1756310400000,finalpage/2025-08-28/1224594883.PDF,https://static.cninfo.com.cn/finalpage/2025-08-28/1224594883.PDF,69,PDF,SHKCB,251302||253201
sse_a,人工智能,688132,688132,邦彦技术,9900041778,1224608145,关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-28,1756396800000,finalpage/2025-08-29/1224608145.PDF,https://static.cninfo.com.cn/finalpage/2025-08-29/1224608145.PDF,101,PDF,SHKCB,251302||253201
sse_a,人工智能,688618,688618,三旺通信,nssc1000604,1224604957,关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-28,1756396800000,finalpage/2025-08-29/1224604957.PDF,https://static.cninfo.com.cn/finalpage/2025-08-29/1224604957.PDF,66,PDF,SHKCB,251302||253201
sse_a,人工智能,688004,688004,博汇科技,gfbj0871038,1224629674,博汇科技关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-08-31,1756656000000,finalpage/2025-09-01/1224629674.PDF,https://static.cninfo.com.cn/finalpage/2025-09-01/1224629674.PDF,113,PDF,SHKCB,251302||253201
sse_a,人工智能,688158,688158,优刻得,9900039004,1224632768,优刻得关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224632768.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224632768.PDF,67,PDF,SHKCB,251302||253201
sse_a,人工智能,688207,688207,格灵深瞳,9900047656,1224630713,格灵深瞳关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224630713.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224630713.PDF,111,PDF,SHKCB,251302||253201
sse_a,人工智能,688500,688500,慧辰股份,gfbj0833309,1224632730,关于召开2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224632730.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224632730.PDF,66,PDF,SHKCB,251302||253201
sse_a,人工智能,688507,688507,索辰科技,nssc1000827,1224630586,关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224630586.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224630586.PDF,120,PDF,SHKCB,251302||253201
sse_a,人工智能,688561,688561,奇安信,9900041361,1224631287,奇安信关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224631287.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224631287.PDF,125,PDF,SHKCB,251302||253201
sse_a,人工智能,688619,688619,罗普特,9900041860,1224632161,罗普特科技集团股份有限公司关于参加2025年半年度科创板人工智能行业集体业绩说明会的公告,2025-09-01,1756742400000,finalpage/2025-09-02/1224632161.PDF,https://static.cninfo.com.cn/finalpage/2025-09-02/1224632161.PDF,102,PDF,SHKCB,251302||253201
szse_a,大模型;模型备案,002980,002980,华盛昌,9900037842,1224635424,关于“DeepSense深度感测大模型”备案通过的自愿性信息披露公告,2025-09-02,1756828800000,finalpage/2025-09-03/1224635424.PDF,https://static.cninfo.com.cn/finalpage/2025-09-03/1224635424.PDF,105,PDF,SZZB,09020202||250101||251302
